"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1319","RT @BumpitOrDumpitF: Only the Top Voted Artists will Advance to the @TrendCityRadio Top40

App VOTES ONLY

Download our App Now &amp; Vo","2020-12-15 00:51:46","TRUE","4","0","2","Apple iPhone","Los Angeles","USA",TRUE
"1320","RT @saurik: Cydia just joined the legal battle against Apple: ""A new lawsuit brought by one of Apple's oldest foes seeks to force the iPhon","2020-12-15 00:46:01","TRUE","665","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1321","RT @BumpitOrDumpitF: Only the Top Voted Artists will Advance to the @TrendCityRadio Top40

App VOTES ONLY

Download our App Now &amp; Vo","2020-12-15 00:44:28","TRUE","4","0","2","Apple iPhone","Los Angeles","USA",TRUE
"1322","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-15 00:43:36","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"1323","OK MAYBE I was wrong. I AM in fact enjoying my very late adjustment from my Galaxy S20+ to the iPhone 12 Pro Max. T ","2020-12-15 00:39:47","FALSE","0","0","0","Apple iPhone","Los Angeles","USA",FALSE
"1324","RT @BumpitOrDumpitF: Only the Top Voted Artists will Advance to the @TrendCityRadio Top40

App VOTES ONLY

Download our App Now &amp; Vo","2020-12-15 00:38:39","TRUE","4","0","2","Apple iPhone","Los Angeles","USA",TRUE
"1325","@palmsolo Apple really gets a person locked into their ecosystem. I like that Samsung galaxy watch but it wont work with my iPhone.","2020-12-15 00:31:13","FALSE","0","0","2","Apple iPhone","Los Angeles","USA",FALSE
"1326","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-15 00:28:05","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1327","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 00:26:37","TRUE","7","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1328","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 00:26:32","TRUE","7","0","0","Apple iPhone","Los Angeles","USA",TRUE
